addrtype,location,severitycode,severitydesc,collisiontype,personcount,pedcount,pedcylcount,vehcount,injuries,seriousinjuries,fatalities,incdate,incdttm,junctiontype,sdot_colcode,sdot_coldesc,inattentionind,underinfl,weather,roadcond,lightcond,pedrownotgrnt,speeding,st_colcode,st_coldesc,crosswalkkey,hitparkedcar,state,latitude,longitude
Intersection,17TH AVE NW AND NW 57TH ST,2,Injury Collision,Cycles,3,0,1,1,1,0,0,2018-11-29T00:00:00.000Z,11/29/2018 8:20:00 PM,At Intersection (intersection related),51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,N,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,,5,Vehicle Strikes Pedalcyclist,0,N,Washington,47.67017483699674,-122.37888314544468
Intersection,8TH AVE S AND S JACKSON ST,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2018-11-28T00:00:00.000Z,11/28/2018 5:14:00 PM,At Intersection (intersection related),51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,N,Overcast,Wet,Dark - Street Lights Off,,,6,Pedalcyclist Strikes Moving Vehicle,0,N,Washington,47.599186130013244,-122.32244469210012
Intersection,ROOSEVELT WAY NE AND NE 66TH ST,2,Injury Collision,Cycles,2,1,1,0,2,0,0,2018-11-08T00:00:00.000Z,11/8/2018 8:31:00 AM,At Intersection (intersection related),64.0,PEDALCYCLIST STRUCK PEDESTRIAN,,N,Overcast,Dry,Daylight,Y,,7,Pedalcyclist Strikes Pedalcyclist or Pedestrian,0,N,Washington,47.67655440134596,-122.31737321600777
Intersection,7TH AVE AND LENORA ST,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2018-05-08T00:00:00.000Z,5/8/2018 12:21:00 PM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,,,5,Vehicle Strikes Pedalcyclist,0,N,Washington,47.61582545523598,-122.33875323438272
Intersection,BELMONT AVE E AND LAKEVIEW BLVD E,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2018-11-08T00:00:00.000Z,11/8/2018 5:43:00 PM,At Intersection (intersection related),51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,N,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,,5,Vehicle Strikes Pedalcyclist,0,N,Washington,47.62832451034748,-122.32709992275879
Block,S KING ST BETWEEN 1ST AVE S AND OCCIDENTAL W AVE S,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2018-12-11T00:00:00.000Z,12/11/2018 9:54:00 AM,Mid-Block (not related to intersection),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",Y,N,Raining,Wet,Daylight,,,5,Vehicle Strikes Pedalcyclist,0,N,Washington,47.5982910012677,-122.33372831870614
Block,DEXTER AVE N BETWEEN GARFIELD S ST AND GARFIELD N ST,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2018-12-20T00:00:00.000Z,12/20/2018 7:45:00 AM,Driveway Junction,18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",Y,N,Raining,Wet,Daylight,,,6,Pedalcyclist Strikes Moving Vehicle,0,N,Washington,47.63320829761861,-122.34228266624625
Intersection,9TH AVE AND OLIVE WAY,1,Property Damage Only Collision,Cycles,2,0,1,1,0,0,0,2018-12-19T00:00:00.000Z,12/19/2018 12:00:00 PM,At Intersection (intersection related),51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,Y,N,Overcast,Unknown,Daylight,,,5,Vehicle Strikes Pedalcyclist,0,N,Washington,47.61452106115382,-122.33295031307426
Block,20TH AVE BETWEEN E UNION ST AND E PINE ST,1,Property Damage Only Collision,Cycles,2,0,1,1,0,0,0,2018-11-08T00:00:00.000Z,11/8/2018 5:15:00 PM,Mid-Block (not related to intersection),0.0,NOT ENOUGH INFORMATION / NOT APPLICABLE,,N,Clear or Partly Cloudy,Dry,Unknown,,,5,Vehicle Strikes Pedalcyclist,0,N,Washington,47.61409263119132,-122.3062154247728
Intersection,15TH AVE NE AND NE PACIFIC ST,2,Injury Collision,Cycles,3,0,1,1,1,0,0,2018-11-06T00:00:00.000Z,11/6/2018 3:26:00 PM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,,,5,Vehicle Strikes Pedalcyclist,0,N,Washington,47.65297596413605,-122.31246414473328
Intersection,44TH AVE S AND S HOLLY ST,1,Property Damage Only Collision,Cycles,2,0,1,1,0,0,0,2018-10-29T00:00:00.000Z,10/29/2018 4:24:00 PM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",Y,N,Overcast,Dry,Daylight,,,5,Vehicle Strikes Pedalcyclist,0,N,Washington,47.54245100128818,-122.27810795061262
Block,DEXTER AVE N BETWEEN 4TH S AVE N AND WESTLAKE AVE N,2,Injury Collision,Rear Ended,4,0,2,2,1,0,0,2018-12-10T00:00:00.000Z,12/10/2018 5:24:00 PM,Mid-Block (but intersection related),14.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",Y,N,Overcast,Dry,Dark - Street Lights On,,,14,From same direction - both going straight - one stopped - rear-end,0,N,Washington,47.64591625975207,-122.34965185886637
Intersection,20TH AVE NW AND NW MARKET ST,2,Injury Collision,Cycles,3,0,1,1,1,0,0,2018-11-05T00:00:00.000Z,11/5/2018 11:53:00 AM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,,,5,Vehicle Strikes Pedalcyclist,0,N,Washington,47.66867579884936,-122.3821299965678
Block,DEXTER AVE N BETWEEN HAYES ST AND HOWE ST,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2019-01-03T00:00:00.000Z,1/3/2019 9:05:00 AM,Mid-Block (not related to intersection),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Wet,Daylight,,,6,Pedalcyclist Strikes Moving Vehicle,0,N,Washington,47.63498698711708,-122.34228517989065
