geo_point_2d;geo_shape;ambulancer;bikeage_gr;bike_age;bike_dir;bike_injur;bike_pos;bike_race;bike_sex;city;county;crashalcoh;crashday;crash_grp;crash_loc;crash_mont;crash_time;crash_type;crash_year;crsh_sevri;developmen;drvrage_gr;drvr_age;drvr_alc_d;drvr_estsp;drvr_injur;drvr_race;drvr_sex;drvr_vehty;excsspdind;hit_run;light_cond;locality;num_lanes;num_units;rd_charact;rd_class;rd_conditi;rd_config;rd_defects;rd_feature;rd_surface;rural_urba;speed_limi;traff_cntr;weather;workzone_i
"36.0331300003; -78.9735000002";"{""type"": ""Point"", ""coordinates"": [-78.9735000001834, 36.03313000032807]}";Yes;40-49;45;With Traffic;C: Possible Injury;Travel Lane;White;Male;Durham;Durham;No;Friday;Motorist Overtaking Bicyclist;Non-Intersection;November;20:49;Motorist Overtaking - Undetected Bicyclist;2013;C: Possible Injury;Commercial;25-29;26;No;31-35 mph;O: No Injury;Black;Female;Passenger Car;No;No;Dark - Roadway Not Lighted;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Urban;30 - 35  MPH;No Control Present;Cloudy;No
"35.9021470911; -79.0442727384";"{""type"": ""Point"", ""coordinates"": [-79.0442727384287, 35.90214709107797]}";Yes;20-24;21;With Traffic;B: Evident Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Wednesday;Motorist Left Turn / Merge;Intersection;September;10:52;Motorist Left Turn - Opposite Direction;2009;B: Evident Injury;Institutional;40-49;40;No;6-10 mph;Unknown Injury;Black;Male;Pickup;No;No;Unknown;Urban (>70% Developed);6 lanes;2.0;Straight - Bottom;Local Street;Dry;Two-Way, Divided, Unprotected Median;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;No Control Present;Clear;No
"35.9110100003; -79.072";"{""type"": ""Point"", ""coordinates"": [-79.07200000001718, 35.91101000029831]}";Yes;30-39;37;With Traffic;C: Possible Injury;Travel Lane;White;Male;Carrboro;Orange;No;Saturday;Bicyclist Overtaking Motorist;Non-Intersection;March;19:03;Bicyclist Overtaking - Passing on Right;2013;C: Possible Injury;Commercial;20-24;20;No;0-5 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);3 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Coarse Asphalt;Urban;20 - 25  MPH;Stop And Go Signal;Clear;No
"35.9118040928; -79.0595927434";"{""type"": ""Point"", ""coordinates"": [-79.05959274344367, 35.91180409275102]}";No;25-29;27;With Traffic;C: Possible Injury;Sidewalk / Crosswalk / Driveway Crossing;White;Female;Chapel Hill;Orange;No;Tuesday;Crossing Paths - Other Circumstances;Intersection;December;18:07;Signalized Intersection - Other / Unknown;2008;C: Possible Injury;Commercial;20-24;21;No;0-5 mph;O: No Injury;White;Female;Passenger Car;No;No;Dark - Lighted Roadway;Urban (>70% Developed);Unknown;2.0;Straight - Level;Public Vehicular Area;Wet;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;5 - 15 MPH;Stop And Go Signal;Cloudy;No
"35.9085270923; -79.0529027408";"{""type"": ""Point"", ""coordinates"": [-79.05290274075288, 35.90852709226568]}";Yes;16-19;18;With Traffic;B: Evident Injury;Sidewalk / Crosswalk / Driveway Crossing;Black;Female;Chapel Hill;Orange;No;Wednesday;Bicyclist Failed to Yield - Signalized Intersection;Intersection;December;10:41;Bicyclist Failed to Clear - Multiple Threat;2012;B: Evident Injury;Institutional;25-29;26;No;0-5 mph;O: No Injury;White;Female;Sport Utility;No;No;Daylight;Urban (>70% Developed);3 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;Stop And Go Signal;Cloudy;No
"35.9118870925; -79.0587027427";"{""type"": ""Point"", ""coordinates"": [-79.05870274274987, 35.911887092475624]}";No;16-19;16;Facing Traffic;C: Possible Injury;Sidewalk / Crosswalk / Driveway Crossing;Black;Male;Chapel Hill;Orange;No;Tuesday;Motorist Failed to Yield - Midblock;Non-Intersection;July;15:00;Motorist Drive Out - Commercial Driveway / Alley;2011;C: Possible Injury;Commercial;0-19;19;No;0-5 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);Unknown;2.0;Straight - Level;Public Vehicular Area;Dry;Two-Way, Not Divided;None;Driveway, Private;Smooth Asphalt;Urban;5 - 15 MPH;No Control Present;Clear;No
"35.8985020883; -79.1079227576";"{""type"": ""Point"", ""coordinates"": [-79.10792275758902, 35.898502088327156]}";Yes;30-39;33;With Traffic;C: Possible Injury;Travel Lane;White;Female;None - Rural Crash;Orange;No;Thursday;Motorist Overtaking Bicyclist;Non-Intersection;September;13:43;Motorist Overtaking - Other / Unknown;2008;C: Possible Injury;Farms, Woods, Pastures;50-59;53;No;41-45 mph;O: No Injury;White;Male;Pickup;No;No;Daylight;Rural (<30% Developed);2 lanes;2.0;Curve - Grade;State Secondary Route;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Rural;40 - 45  MPH;Double Yellow Line, No Passing Zone;Clear;No
"35.9106740925; -79.0542627417";"{""type"": ""Point"", ""coordinates"": [-79.05426274165018, 35.91067409248638]}";Yes;20-24;21;With Traffic;B: Evident Injury;Travel Lane;White;Female;Chapel Hill;Orange;Yes;Thursday;Motorist Failed to Yield - Signalized Intersection;Intersection;August;16:15;Motorist Drive Through - Signalized Intersection;2009;B: Evident Injury;Institutional;20-24;22;Yes;11-15 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);Unknown;2.0;Straight - Grade;Local Street;Dry;One-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Urban;20 - 25  MPH;Stop And Go Signal;Clear;No
"35.9130010937; -79.0478327403";"{""type"": ""Point"", ""coordinates"": [-79.04783274031658, 35.91300109373198]}";Yes;50-59;54;With Traffic;B: Evident Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Thursday;Motorist Overtaking Bicyclist;Non-Intersection;September;7:46;Motorist Overtaking - Misjudged Space;2009;B: Evident Injury;Institutional;60-69;67;No;0-5 mph;O: No Injury;Black;Male;Commercial Bus;No;No;Daylight;Urban (>70% Developed);4 lanes;2.0;Straight - Grade;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Urban;20 - 25  MPH;Stop And Go Signal;Cloudy;No
"35.9326740986; -79.0112527299";"{""type"": ""Point"", ""coordinates"": [-79.01125272986329, 35.93267409858912]}";Yes;40-49;48;With Traffic;C: Possible Injury;Travel Lane;White;Female;Chapel Hill;Orange;No;Sunday;Motorist Left Turn / Merge;Intersection;March;18:01;Motorist Left Turn - Opposite Direction;2008;C: Possible Injury;Residential;70+;70+;No;16-20 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Urban;30 - 35  MPH;No Control Present;Clear;No
