geo_point_2d;geo_shape;ambulancer;bikeage_gr;bike_age;bike_dir;bike_injur;bike_pos;bike_race;bike_sex;city;county;crashalcoh;crashday;crash_grp;crash_loc;crash_mont;crash_time;crash_type;crash_year;crsh_sevri;developmen;drvrage_gr;drvr_age;drvr_alc_d;drvr_estsp;drvr_injur;drvr_race;drvr_sex;drvr_vehty;excsspdind;hit_run;light_cond;locality;num_lanes;num_units;rd_charact;rd_class;rd_conditi;rd_config;rd_defects;rd_feature;rd_surface;rural_urba;speed_limi;traff_cntr;weather;workzone_i
"35.9086970922; -79.0499327405";"{""type"": ""Point"", ""coordinates"": [-79.04993274050086, 35.90869709215578]}";No;20-24;21;With Traffic;C: Possible Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Wednesday;Motorist Left Turn / Merge;Intersection;April;17:28;Motorist Left Turn - Opposite Direction;2008;C: Possible Injury;Institutional;20-24;24;No;Unknown;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Divided, Unprotected Median;None;No Special Feature;Smooth Asphalt;Urban;Unknown;Missing;Clear;No
"35.9638401042; -79.0581327461";"{""type"": ""Point"", ""coordinates"": [-79.05813274613807, 35.963840104205616]}";No;20-24;22;Facing Traffic;B: Evident Injury;Sidewalk / Crosswalk / Driveway Crossing;White;Male;Chapel Hill;Orange;No;Thursday;Motorist Failed to Yield - Signalized Intersection;Intersection;May;16:23;Motorist Drive Out - Signalized Intersection;2010;B: Evident Injury;Commercial;50-59;54;No;6-10 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);6 lanes;2.0;Straight - Level;NC Route;Dry;Two-Way, Divided, Unprotected Median;None;Four-Way Intersection;Smooth Asphalt;Urban;30 - 35  MPH;Stop And Go Signal;Clear;No
"35.9032130918; -79.0479327393";"{""type"": ""Point"", ""coordinates"": [-79.04793273926721, 35.90321309175756]}";Yes;20-24;20;With Traffic;B: Evident Injury;Sidewalk / Crosswalk / Driveway Crossing;Asian;Female;Chapel Hill;Orange;No;Thursday;Parallel Paths - Other Circumstances;Non-Intersection;October;15:34;Bicyclist Ride Out - Parallel Path;2010;B: Evident Injury;Institutional;25-29;27;No;11-15 mph;Unknown Injury;Black;Male;Other Bus;No;No;Daylight;Mixed (30% To 70% Developed);4 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;Stop And Go Signal;Clear;No
"35.9278670923; -79.1747427788";"{""type"": ""Point"", ""coordinates"": [-79.17474277880629, 35.92786709233094]}";No;50-59;51;With Traffic;B: Evident Injury;Travel Lane;White;Male;None - Rural Crash;Orange;No;Thursday;Motorist Overtaking Bicyclist;Non-Intersection;April;20:38;Motorist Overtaking - Undetected Bicyclist;2008;B: Evident Injury;Farms, Woods, Pastures;40-49;49;No;41-45 mph;O: No Injury;Black;Male;Sport Utility;No;No;Dark - Roadway Not Lighted;Mixed (30% To 70% Developed);2 lanes;2.0;Straight - Level;State Secondary Route;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Rural;40 - 45  MPH;Double Yellow Line, No Passing Zone;Clear;No
"35.9097320913; -79.0904327522";"{""type"": ""Point"", ""coordinates"": [-79.09043275215946, 35.90973209128756]}";No;40-49;42;With Traffic;C: Possible Injury;Bike Lane / Paved Shoulder;Asian;Female;Carrboro;Orange;No;Thursday;Motorist Overtaking Bicyclist;Non-Intersection;December;7:52;Motorist Overtaking - Bicyclist Swerved;2007;C: Possible Injury;Residential;50-59;58;No;36-40 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Rural (<30% Developed);4 lanes;2.0;Straight - Level;NC Route;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;40 - 45  MPH;No Control Present;Clear;No
"36.0327601212; -78.9815527261";"{""type"": ""Point"", ""coordinates"": [-78.98155272614135, 36.0327601212143]}";Yes;11-15;13;With Traffic;B: Evident Injury;Travel Lane;White;Male;Durham;Durham;No;Friday;Loss of Control / Turning Error;Intersection;April;15:26;Bicyclist Lost Control - Oversteering, Improper Braking, Speed;2008;B: Evident Injury;Commercial;0-19;16;No;6-10 mph;O: No Injury;White;Female;Sport Utility;No;No;Daylight;Urban (>70% Developed);8 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Urban;30 - 35  MPH;Stop And Go Signal;Clear;No
"35.9089399998; -79.0588999998";"{""type"": ""Point"", ""coordinates"": [-79.05889999975244, 35.908939999779165]}";No;20-24;23;Facing Traffic;C: Possible Injury;Travel Lane;White;Male;Chapel Hill;Orange;Yes;Wednesday;Motorist Failed to Yield - Signalized Intersection;Intersection;July;18:49;Motorist Drive Through - Signalized Intersection;2013;C: Possible Injury;Residential;20-24;21;Yes;26-30 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;Stop And Go Signal;Clear;No
"35.9351000002; -79.0561999998";"{""type"": ""Point"", ""coordinates"": [-79.05619999981158, 35.93510000020516]}";Yes;11-15;12;Facing Traffic;B: Evident Injury;Travel Lane;Black;Male;Chapel Hill;Orange;No;Thursday;Bicyclist Failed to Yield - Signalized Intersection;Intersection;November;18:56;Bicyclist Ride Through - Signalized Intersection;2013;B: Evident Injury;Commercial;0-19;18;No;31-35 mph;O: No Injury;White;Male;Passenger Car;No;No;Dark - Lighted Roadway;Mixed (30% To 70% Developed);5 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Urban;30 - 35  MPH;Stop And Go Signal;Clear;No
"35.9101470919; -79.073202747";"{""type"": ""Point"", ""coordinates"": [-79.07320274701853, 35.910147091900804]}";No;25-29;29;With Traffic;C: Possible Injury;Bike Lane / Paved Shoulder;White;Female;Carrboro;Orange;No;Friday;Motorist Right Turn / Merge;Non-Intersection;September;17:58;Motorist Right Turn - Same Direction;2012;C: Possible Injury;Commercial;0-19;16;No;0-5 mph;O: No Injury;White;Male;Pickup;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Urban;20 - 25  MPH;No Control Present;Clear;No
"35.9397000987; -79.0546827436";"{""type"": ""Point"", ""coordinates"": [-79.0546827435711, 35.939700098700825]}";Yes;30-39;32;With Traffic;C: Possible Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Tuesday;Motorist Overtaking Bicyclist;Intersection-Related;September;19:03;Motorist Overtaking - Undetected Bicyclist;2010;C: Possible Injury;Residential;60-69;61;No;31-35 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;30 - 35  MPH;No Control Present;Clear;No
"36.0100891165; -78.9899527275";"{""type"": ""Point"", ""coordinates"": [-78.98995272751156, 36.01008911651919]}";No;40-49;49;With Traffic;B: Evident Injury;Travel Lane;White;Male;None - Rural Crash;Durham;No;Thursday;Motorist Failed to Yield - Sign-Controlled Intersection;Intersection;April;17:25;Motorist Drive Out - Sign-Controlled Intersection;2008;B: Evident Injury;Farms, Woods, Pastures;40-49;40;No;Unknown;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Rural (<30% Developed);2 lanes;2.0;Curve - Bottom;State Secondary Route;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Rural;Unknown;Stop Sign;Clear;No
"35.8452220778; -79.0903127495";"{""type"": ""Point"", ""coordinates"": [-79.09031274951566, 35.84522207781903]}";No;16-19;18;Not Applicable;O: No Injury;Non-Roadway;White;Male;None - Rural Crash;Chatham;No;Thursday;Non-Roadway;Non-Roadway;July;17:35;Non-Roadway;2008;O: No Injury;Commercial;30-39;36;No;11-15 mph;O: No Injury;White;Female;Van;No;No;Daylight;Rural (<30% Developed);Unknown;2.0;Straight - Level;Public Vehicular Area;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Rural;5 - 15 MPH;No Control Present;Clear;No
"35.9117770926; -79.0595887438";"{""type"": ""Point"", ""coordinates"": [-79.059588743836, 35.911777092581104]}";Yes;16-19;18;With Traffic;B: Evident Injury;Sidewalk / Crosswalk / Driveway Crossing;White;Male;Chapel Hill;Orange;No;Thursday;Bicyclist Failed to Yield - Signalized Intersection;Intersection;November;18:31;Bicyclist Ride Through - Signalized Intersection;2008;B: Evident Injury;Commercial;20-24;23;No;6-10 mph;O: No Injury;White;Female;Light Truck (Mini-Van, Panel);No;No;Dark - Lighted Roadway;Urban (>70% Developed);4 lanes;2.0;Straight - Bottom;Local Street;Wet;Two-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Urban;20 - 25  MPH;Stop And Go Signal;Cloudy;No
"35.8566620804; -79.0867127488";"{""type"": ""Point"", ""coordinates"": [-79.08671274882869, 35.85666208044171]}";Yes;6-10;10;Not Applicable;B: Evident Injury;Driveway / Alley;White;Male;None - Rural Crash;Chatham;No;Tuesday;Bicyclist Failed to Yield - Midblock;Non-Intersection;April;17:18;Bicyclist Ride Out - Residential Driveway;2007;B: Evident Injury;Farms, Woods, Pastures;25-29;26;No;11-15 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Rural (<30% Developed);2 lanes;2.0;Straight - Level;State Secondary Route;Dry;Two-Way, Not Divided;None;Driveway, Private;Coarse Asphalt;Rural;30 - 35  MPH;No Control Present;Clear;No
"35.9004070914; -79.0408027366";"{""type"": ""Point"", ""coordinates"": [-79.04080273660105, 35.90040709137532]}";No;16-19;19;With Traffic;B: Evident Injury;Travel Lane;Asian;Male;Chapel Hill;Orange;No;Wednesday;Bicyclist Left Turn / Merge;Non-Intersection;April;15:27;Bicyclist Left Turn - Same Direction;2012;B: Evident Injury;Institutional;25-29;26;No;11-15 mph;O: No Injury;White;Male;Sport Utility;No;No;Daylight;Urban (>70% Developed);4 lanes;2.0;Straight - Grade;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;No Control Present;Clear;No
"35.922087095; -79.0517027419";"{""type"": ""Point"", ""coordinates"": [-79.05170274194363, 35.92208709496408]}";No;25-29;27;With Traffic;C: Possible Injury;Travel Lane;White;Female;Chapel Hill;Orange;No;Tuesday;Motorist Failed to Yield - Midblock;Non-Intersection;December;13:30;Motorist Drive Out - Residential Driveway;2012;C: Possible Injury;Farms, Woods, Pastures;20-24;21;No;0-5 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Grade;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;Double Yellow Line, No Passing Zone;Clear;No
"35.9464471017; -79.0089027296";"{""type"": ""Point"", ""coordinates"": [-79.00890272957379, 35.94644710174162]}";No;25-29;26;With Traffic;C: Possible Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Sunday;Motorist Overtaking Bicyclist;Non-Intersection;April;3:20;Motorist Overtaking - Undetected Bicyclist;2008;C: Possible Injury;Commercial;30-39;34;No;36-40 mph;O: No Injury;White;Male;Passenger Car;No;No;Dark - Roadway Not Lighted;Urban (>70% Developed);4 lanes;2.0;Straight - Level;US Route;Wet;Two-Way, Divided, Unprotected Median;None;No Special Feature;Coarse Asphalt;Urban;40 - 45  MPH;No Control Present;Rain;No
"35.918262094; -79.0589777438";"{""type"": ""Point"", ""coordinates"": [-79.0589777438042, 35.91826209400781]}";Yes;11-15;12;Unknown;B: Evident Injury;Travel Lane;Black;Male;Chapel Hill;Orange;No;Saturday;Bicyclist Failed to Yield - Sign-Controlled Intersection;Intersection;May;16:04;Bicyclist Ride Through - Sign-Controlled Intersection;2007;B: Evident Injury;Residential;20-24;22;No;21-25 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Grade;Local Street;Dry;Two-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Urban;20 - 25  MPH;Stop Sign;Cloudy;No
"35.9050070926; -79.01642273";"{""type"": ""Point"", ""coordinates"": [-79.01642273003033, 35.90500709257154]}";Yes;30-39;30;Facing Traffic;B: Evident Injury;Sidewalk / Crosswalk / Driveway Crossing;Black;Female;Chapel Hill;Orange;No;Friday;Motorist Failed to Yield - Signalized Intersection;Intersection;April;18:33;Motorist Drive Out - Signalized Intersection;2010;B: Evident Injury;Residential;30-39;35;No;6-10 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);9 or more lanes;2.0;Straight - Grade;NC Route;Dry;Two-Way, Divided, Unprotected Median;None;Four-Way Intersection;Smooth Asphalt;Urban;20 - 25  MPH;Stop And Go Signal;Clear;No
"36.01185; -78.9953999996";"{""type"": ""Point"", ""coordinates"": [-78.99539999956059, 36.0118499999684]}";Yes;50-59;53;With Traffic;B: Evident Injury;Travel Lane;Other;Male;None - Rural Crash;Orange;No;Tuesday;Motorist Overtaking Bicyclist;Non-Intersection;July;19:37;Motorist Overtaking - Undetected Bicyclist;2013;B: Evident Injury;Farms, Woods, Pastures;40-49;46;No;41-45 mph;O: No Injury;Black;Male;Sport Utility;No;No;Daylight;Rural (<30% Developed);2 lanes;2.0;Straight - Grade;State Secondary Route;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Rural;40 - 45  MPH;Double Yellow Line, No Passing Zone;Clear;No
"35.9254300002; -79.0246999995";"{""type"": ""Point"", ""coordinates"": [-79.02469999947469, 35.925430000193984]}";Yes;70+;0;With Traffic;B: Evident Injury;Bike Lane / Paved Shoulder;White;Male;Chapel Hill;Orange;No;Tuesday;Motorist Overtaking Bicyclist;Non-Intersection;July;16:48;Motorist Overtaking - Other / Unknown;2013;B: Evident Injury;Commercial;40-49;44;No;41-45 mph;O: No Injury;White;Male;Tractor/Semi-Trailer;No;No;Daylight;Urban (>70% Developed);4 lanes;2.0;Straight - Level;US Route;Dry;Two-Way, Divided, Unprotected Median;None;No Special Feature;Smooth Asphalt;Urban;40 - 45  MPH;No Control Present;Clear;No
"35.9117199998; -79.0622000001";"{""type"": ""Point"", ""coordinates"": [-79.06220000005987, 35.91171999975163]}";Yes;20-24;24;With Traffic;B: Evident Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Wednesday;Motorist Left Turn / Merge;Intersection-Related;October;19:00;Motorist Left Turn - Opposite Direction;2013;B: Evident Injury;Commercial;20-24;23;No;0-5 mph;O: No Injury;White;Male;Passenger Car;No;No;Dark - Lighted Roadway;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Unknown;None;No Special Feature;Concrete;Urban;20 - 25  MPH;No Control Present;Clear;No
"35.910947092; -79.0670027453";"{""type"": ""Point"", ""coordinates"": [-79.06700274526085, 35.91094709203774]}";Yes;50-59;57;With Traffic;B: Evident Injury;Travel Lane;White;Male;Carrboro;Orange;No;Sunday;Motorist Overtaking Bicyclist;Intersection-Related;November;15:29;Motorist Overtaking - Bicyclist Swerved;2012;B: Evident Injury;Commercial;50-59;58;No;11-15 mph;O: No Injury;Black;Male;Pickup;No;No;Daylight;Urban (>70% Developed);Unknown;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Urban;20 - 25  MPH;Stop And Go Signal;Clear;No
"35.9110270926; -79.061282744";"{""type"": ""Point"", ""coordinates"": [-79.06128274404988, 35.911027092594004]}";Yes;50-59;56;With Traffic;B: Evident Injury;Travel Lane;Black;Male;Chapel Hill;Orange;No;Wednesday;Head-On;Non-Intersection;May;9:32;Head-On - Motorist;2008;B: Evident Injury;Commercial;Unknown;Unknown;Missing;26-30 mph;Unknown Injury;Unknown/Missing;Unknown;Unknown;No;Yes;Daylight;Urban (>70% Developed);4 lanes;2.0;Straight - Level;Local Street;Wet;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;Double Yellow Line, No Passing Zone;Rain;No
"35.9110410921; -79.0661427454";"{""type"": ""Point"", ""coordinates"": [-79.066142745353, 35.91104109212996]}";Yes;50-59;51;Facing Traffic;C: Possible Injury;Sidewalk / Crosswalk / Driveway Crossing;Black;Male;Chapel Hill;Orange;No;Friday;Motorist Failed to Yield - Sign-Controlled Intersection;Intersection;May;15:32;Motorist Drive Out - Sign-Controlled Intersection;2009;C: Possible Injury;Commercial;60-69;61;No;0-5 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Urban;20 - 25  MPH;Stop Sign;Clear;No
"35.9244270945; -79.0986587557";"{""type"": ""Point"", ""coordinates"": [-79.09865875569659, 35.92442709451901]}";No;30-39;35;Not Applicable;C: Possible Injury;Travel Lane;Hispanic;Male;None - Rural Crash;Orange;No;Friday;Non-Roadway;Non-Roadway;August;18:06;Non-Roadway;2009;C: Possible Injury;Residential;Unknown;Unknown;Missing;11-15 mph;Unknown Injury;Unknown/Missing;Unknown;Pickup;No;No;Dusk;Mixed (30% To 70% Developed);2 lanes;3.0;Straight - Level;Private Road, Driveway;Dry;Two-Way, Not Divided;None;Driveway, Private;Gravel;Rural;5 - 15 MPH;No Control Present;Cloudy;No
"35.9174070924; -79.0941027536";"{""type"": ""Point"", ""coordinates"": [-79.09410275356177, 35.917407092378085]}";Yes;50-59;54;Unknown;A: Disabling Injury;Travel Lane;White;Male;Carrboro;Orange;No;Monday;Crossing Paths - Other Circumstances;Intersection-Related;April;7:58;Crossing Paths - Intersection - Other / Unknown;2011;A: Disabling Injury;Commercial;40-49;49;No;16-20 mph;O: No Injury;White;Female;Van;No;No;Daylight;Urban (>70% Developed);4 lanes;2.0;Curve - Level;NC Route;Dry;Two-Way, Divided, Unprotected Median;None;Related To Intersection;Smooth Asphalt;Urban;40 - 45  MPH;Stop And Go Signal;Cloudy;No
"35.9112170925; -79.0605027439";"{""type"": ""Point"", ""coordinates"": [-79.0605027439476, 35.911217092503136]}";Yes;25-29;28;With Traffic;B: Evident Injury;Travel Lane;White;Female;Chapel Hill;Orange;No;Tuesday;Motorist Left Turn / Merge;Intersection;September;22:51;Motorist Left Turn - Opposite Direction;2011;B: Evident Injury;Commercial;0-19;19;No;0-5 mph;O: No Injury;White;Male;Passenger Car;No;No;Dark - Lighted Roadway;Urban (>70% Developed);4 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;No Control Present;Clear;No
"35.9099230922; -79.056212742";"{""type"": ""Point"", ""coordinates"": [-79.05621274203419, 35.90992309219657]}";No;50-59;53;With Traffic;C: Possible Injury;Unknown;White;Male;Chapel Hill;Orange;No;Wednesday;Motorist Left Turn / Merge;Non-Intersection;September;8:04;Motorist Left Turn - Opposite Direction;2007;C: Possible Injury;Residential;30-39;34;No;6-10 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;No Control Present;Clear;No
"35.9419799996; -79.0907000003";"{""type"": ""Point"", ""coordinates"": [-79.09070000033552, 35.94197999959656]}";No;30-39;32;With Traffic;O: No Injury;Travel Lane;Black;Male;Carrboro;Orange;No;Wednesday;Bicyclist Overtaking Motorist;Non-Intersection;August;18:04;Bicyclist Overtaking - Parked Vehicle;2013;O: No Injury;Residential;Unknown;Unknown;Missing;Unknown;Unknown Injury;Unknown/Missing;Unknown;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;No Control Present;Clear;No
"35.9228770955; -79.055002742";"{""type"": ""Point"", ""coordinates"": [-79.05500274200448, 35.92287709553583]}";Yes;30-39;35;With Traffic;C: Possible Injury;Bike Lane / Paved Shoulder;White;Male;Chapel Hill;Orange;Yes;Friday;Motorist Right Turn / Merge;Non-Intersection;May;16:03;Motorist Right Turn - Same Direction;2012;C: Possible Injury;Residential;20-24;22;Yes;16-20 mph;O: No Injury;White;Male;Unknown;No;Yes;Daylight;Urban (>70% Developed);4 lanes;2.0;Straight - Grade;NC Route;Dry;Two-Way, Divided, Unprotected Median;None;No Special Feature;Smooth Asphalt;Urban;30 - 35  MPH;Double Yellow Line, No Passing Zone;Cloudy;No
"35.9247870935; -79.1196027626";"{""type"": ""Point"", ""coordinates"": [-79.11960276257408, 35.92478709351283]}";Yes;50-59;51;With Traffic;K: Killed;Travel Lane;Black;Male;None - Rural Crash;Orange;Yes;Sunday;Motorist Overtaking Bicyclist;Non-Intersection;June;0:42;Motorist Overtaking - Other / Unknown;2012;K: Killed;Farms, Woods, Pastures;25-29;27;No;51-55 mph;O: No Injury;Black;Female;Passenger Car;No;No;Dark - Roadway Not Lighted;Rural (<30% Developed);2 lanes;2.0;Curve - Level;NC Route;Dry;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Rural;50 - 55  MPH;Double Yellow Line, No Passing Zone;Clear;No
"35.9304670971; -79.0549027427";"{""type"": ""Point"", ""coordinates"": [-79.05490274271537, 35.93046709711043]}";Yes;20-24;23;Facing Traffic;C: Possible Injury;Sidewalk / Crosswalk / Driveway Crossing;White;Male;Chapel Hill;Orange;No;Friday;Motorist Failed to Yield - Sign-Controlled Intersection;Intersection;May;10:07;Motorist Drive Out - Sign-Controlled Intersection;2011;C: Possible Injury;Commercial;25-29;28;No;Unknown;O: No Injury;White;Female;Sport Utility;No;No;Daylight;Urban (>70% Developed);5 lanes;2.0;Straight - Grade;Private Road, Driveway;Dry;Two-Way, Not Divided;None;Driveway, Public;Smooth Asphalt;Urban;5 - 15 MPH;Stop Sign;Clear;No
"35.9174; -79.0612000005";"{""type"": ""Point"", ""coordinates"": [-79.06120000048443, 35.91739999999003]}";Yes;20-24;20;With Traffic;B: Evident Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Thursday;Bicyclist Failed to Yield - Sign-Controlled Intersection;Intersection;January;10:45;Bicyclist Ride Through - Sign-Controlled Intersection;2013;B: Evident Injury;Residential;50-59;53;No;11-15 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Grade;Local Street;Wet;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;Stop Sign;Cloudy;No
"35.9054200003; -79.0162999997";"{""type"": ""Point"", ""coordinates"": [-79.016299999729, 35.90542000026161]}";No;60-69;64;Facing Traffic;C: Possible Injury;Sidewalk / Crosswalk / Driveway Crossing;Black;Male;Chapel Hill;Orange;No;Wednesday;Motorist Failed to Yield - Signalized Intersection;Intersection;March;10:28;Motorist Drive Out - Right Turn on Red;2013;C: Possible Injury;Residential;60-69;60;No;6-10 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);3 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;30 - 35  MPH;Stop And Go Signal;Cloudy;No
"35.9276870969; -79.0301727355";"{""type"": ""Point"", ""coordinates"": [-79.03017273554254, 35.9276870969423]}";Yes;60-69;63;With Traffic;C: Possible Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Tuesday;Motorist Left Turn / Merge;Intersection;November;9:32;Motorist Left Turn - Opposite Direction;2010;C: Possible Injury;Commercial;50-59;58;No;Unknown;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);5 lanes;2.0;Straight - Grade;State Secondary Route;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Urban;30 - 35  MPH;Stop And Go Signal;Clear;No
"36.0322271212; -78.9896027284";"{""type"": ""Point"", ""coordinates"": [-78.98960272835374, 36.0322271211577]}";Yes;40-49;44;With Traffic;C: Possible Injury;Travel Lane;White;Male;None - Rural Crash;Orange;Yes;Thursday;Motorist Overtaking Bicyclist;Intersection-Related;April;0:49;Motorist Overtaking - Other / Unknown;2011;C: Possible Injury;Residential;Unknown;Unknown;No;26-30 mph;Unknown Injury;Unknown/Missing;Unknown;Unknown;No;Yes;Dark - Roadway Not Lighted;Mixed (30% To 70% Developed);9 or more lanes;2.0;Straight - Grade;State Secondary Route;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Rural;40 - 45  MPH;Double Yellow Line, No Passing Zone;Clear;No
"35.915260094; -79.0568027424";"{""type"": ""Point"", ""coordinates"": [-79.05680274235331, 35.91526009397395]}";Yes;25-29;28;With Traffic;B: Evident Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Friday;Motorist Left Turn / Merge;Intersection;March;18:32;Motorist Left Turn - Opposite Direction;2010;B: Evident Injury;Residential;25-29;26;No;16-20 mph;O: No Injury;Black;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);5 lanes;2.0;Curve - Grade;Local Street;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Urban;30 - 35  MPH;Yield Sign;Clear;No
"35.9098670932; -79.04728274";"{""type"": ""Point"", ""coordinates"": [-79.0472827399995, 35.90986709315614]}";Yes;30-39;39;With Traffic;B: Evident Injury;Travel Lane;Native American;Male;Chapel Hill;Orange;No;Wednesday;Parking / Bus-Related;Non-Intersection;October;7:56;Motorist Drive In / Out - Parking;2008;B: Evident Injury;Institutional;30-39;36;No;0-5 mph;O: No Injury;White;Male;Sport Utility;No;No;Daylight;Mixed (30% To 70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;Missing;Clear;No
"35.9037570912; -79.0527027412";"{""type"": ""Point"", ""coordinates"": [-79.05270274116236, 35.90375709115476]}";No;60-69;60;With Traffic;O: No Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Wednesday;Bicyclist Overtaking Motorist;Intersection;September;11:00;Bicyclist Overtaking - Passing on Left;2011;O: No Injury;Institutional;50-59;59;No;11-15 mph;Unknown Injury;Black;Female;Other Bus;No;No;Daylight;Mixed (30% To 70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;Stop And Go Signal;Clear;No
"35.9956599996; -79.0543999995";"{""type"": ""Point"", ""coordinates"": [-79.0543999995159, 35.995659999634974]}";No;50-59;58;With Traffic;B: Evident Injury;Travel Lane;White;Male;None - Rural Crash;Orange;No;Sunday;Motorist Overtaking Bicyclist;Non-Intersection;February;13:00;Motorist Overtaking - Other / Unknown;2013;B: Evident Injury;Farms, Woods, Pastures;70+;70+;No;41-45 mph;O: No Injury;White;Female;Van;No;No;Daylight;Rural (<30% Developed);2 lanes;2.0;Straight - Level;State Secondary Route;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Rural;40 - 45  MPH;Double Yellow Line, No Passing Zone;Clear;No
