block_intersection,severity_code,collision_type,person_count,ped_count,pedcyl_count,veh_count,junction_type,sdot_coldesc,in_attention,under_infl,weather,road_cond,light_cond,ped_right_way,speeding,s._col_desc,crosswalkkey,hit_parked_car,latitude,longitude
1,1,Cycles,3,0,1,1,At Intersection (intersection related),"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",0,0,Clear or Partly Cloudy,Dry,Daylight,0,0,Vehicle Strikes Pedalcyclist,0,0,47.65297596413605,-122.31246414473328
1,0,Cycles,2,0,1,1,At Intersection (intersection related),"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",1,0,Overcast,Dry,Daylight,0,0,Vehicle Strikes Pedalcyclist,0,0,47.54245100128818,-122.27810795061262
0,1,Rear Ended,4,0,2,2,Mid-Block (but intersection related),"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",1,0,Overcast,Dry,Dark - Street Lights On,0,0,From same direction - both going straight - one stopped - rear-end,0,0,47.64591625975207,-122.34965185886637
1,1,Cycles,3,0,1,1,At Intersection (intersection related),"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",0,0,Clear or Partly Cloudy,Dry,Daylight,0,0,Vehicle Strikes Pedalcyclist,0,0,47.668675798849364,-122.3821299965678
0,1,Cycles,2,0,1,1,Mid-Block (not related to intersection),"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",0,0,Clear or Partly Cloudy,Wet,Daylight,0,0,Pedalcyclist Strikes Moving Vehicle,0,0,47.63498698711708,-122.34228517989064
1,1,Cycles,2,0,1,1,At Intersection (intersection related),"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",0,0,Clear or Partly Cloudy,Dry,Daylight,0,0,Vehicle Strikes Pedalcyclist,0,0,47.68692430802964,-122.36833137726177
0,1,Parked Car,2,0,1,1,Mid-Block (not related to intersection),"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",0,0,Clear or Partly Cloudy,Dry,Daylight,0,0,One parked--one moving,0,1,47.654263064347276,-122.3707609880352
1,1,Cycles,2,0,1,1,At Intersection (intersection related),PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,0,0,Clear or Partly Cloudy,Dry,Daylight,0,0,Vehicle Strikes Pedalcyclist,0,0,47.6383654685091,-122.37276148284242
0,1,Cycles,3,0,1,1,Mid-Block (not related to intersection),"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",0,0,Clear or Partly Cloudy,Dry,Daylight,0,0,Vehicle Strikes Pedalcyclist,0,0,47.526987827059386,-122.27272394545264
0,2,Cycles,3,0,1,2,Mid-Block (not related to intersection),"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",0,0,Overcast,Wet,Dark - Street Lights On,0,0,Vehicle Strikes Pedalcyclist,0,1,47.6880263040823,-122.35530031084306
